# nnc6 c6D3_2
3.500000000000000000e+01 -2.546106442799983874e-38
3.600000000000000000e+01 -5.622020520240054382e-39
3.700000000000000000e+01 -7.621125343974004960e-39
3.800000000000000000e+01 -1.024177098735334826e-38
3.900000000000000000e+01 -1.366419005327322393e-38
4.000000000000000000e+01 -1.809678756705289026e-38
4.100000000000000000e+01 -2.380044353722231982e-38
4.200000000000000000e+01 -3.109428909980058899e-38
4.300000000000000000e+01 -4.036693087336946136e-38
4.400000000000000000e+01 -5.208857248677822151e-38
4.500000000000000000e+01 -6.682675582240314820e-38
4.600000000000000000e+01 -9.350016430355163153e-38
4.700000000000000000e+01 -1.528350456043736224e-37
4.800000000000000000e+01 -1.932774459220233561e-37
4.900000000000000000e+01 -2.432233697362078548e-37
5.000000000000000000e+01 -3.044356193065282246e-37
5.100000000000000000e+01 -3.795759734701846543e-37
5.200000000000000000e+01 -4.712075064577662120e-37
5.300000000000000000e+01 -5.825156550132651378e-37
5.400000000000000000e+01 -7.237462541215429718e-37
5.500000000000000000e+01 -8.998516246338537051e-37
5.600000000000000000e+01 -1.099556611669053380e-36
5.700000000000000000e+01 -1.338738501744217863e-36
5.800000000000000000e+01 -1.624275382180119642e-36
5.900000000000000000e+01 -1.964087154880205226e-36
6.000000000000000000e+01 -2.367268848765008461e-36
6.100000000000000000e+01 -2.850400600787681941e-36
6.200000000000000000e+01 -3.415151350246682991e-36
6.300000000000000000e+01 -4.078737562313814998e-36
6.400000000000000000e+01 -4.857356054974655819e-36
6.500000000000000000e+01 -5.768592741259145882e-36
6.600000000000000000e+01 -6.832392475177038357e-36
6.700000000000000000e+01 -8.071977194904400524e-36
6.800000000000000000e+01 -9.511530655079052832e-36
6.900000000000000000e+01 -1.118027594547964948e-35
7.000000000000000000e+01 -1.311041208145134268e-35
7.100000000000000000e+01 -1.533816837970348567e-35
7.200000000000000000e+01 -1.790382069938955236e-35
7.300000000000000000e+01 -2.085270685098864027e-35
7.400000000000000000e+01 -2.423531968630512501e-35
7.500000000000000000e+01 -2.810792880332607670e-35
7.600000000000000000e+01 -3.253311572483550561e-35
7.700000000000000000e+01 -3.758044435122990157e-35
7.800000000000000000e+01 -4.332700601297306319e-35
7.900000000000000000e+01 -4.985818195604466604e-35
8.000000000000000000e+01 -5.726837331695497916e-35
8.100000000000000000e+01 -6.566180127382524929e-35
8.200000000000000000e+01 -7.515336369651270455e-35
