# nnc6 c6S1_2
3.500000000000000000e+01 2.279369351541405748e-37
3.600000000000000000e+01 3.248202116000862579e-37
3.700000000000000000e+01 4.578830600762040612e-37
3.800000000000000000e+01 6.388897417334975154e-37
3.900000000000000000e+01 8.829062800539579052e-37
4.000000000000000000e+01 1.209072510170917911e-36
4.100000000000000000e+01 1.641547517090843150e-36
4.200000000000000000e+01 2.208732147160662115e-36
4.300000000000000000e+01 2.861154866105655151e-36
4.400000000000000000e+01 3.796957807187134968e-36
4.500000000000000000e+01 5.104148269946666156e-36
4.600000000000000000e+01 6.684307474547101312e-36
4.700000000000000000e+01 8.693488662537713598e-36
4.800000000000000000e+01 1.123829927882156176e-35
4.900000000000000000e+01 1.444415560506137820e-35
5.000000000000000000e+01 1.846202305420021564e-35
5.100000000000000000e+01 2.347282940060583927e-35
5.200000000000000000e+01 2.969188030745891035e-35
5.300000000000000000e+01 3.737334957797176047e-35
5.400000000000000000e+01 4.681012511699309244e-35
5.500000000000000000e+01 5.840628697949839463e-35
5.600000000000000000e+01 7.254717151654032700e-35
5.700000000000000000e+01 8.972898825307282033e-35
5.800000000000000000e+01 1.105374348976717672e-34
5.900000000000000000e+01 1.356478795700399775e-34
6.000000000000000000e+01 1.658432688413967739e-34
6.100000000000000000e+01 2.020304781515768328e-34
6.200000000000000000e+01 2.452743783862841338e-34
6.300000000000000000e+01 2.967929514670580189e-34
6.400000000000000000e+01 3.579660665076350828e-34
6.500000000000000000e+01 4.303952906817257758e-34
6.600000000000000000e+01 5.159155151104228975e-34
6.700000000000000000e+01 6.166293962452024495e-34
6.800000000000000000e+01 7.349195445447469609e-34
6.900000000000000000e+01 8.735071198313318721e-34
7.000000000000000000e+01 1.035462045717708175e-33
7.100000000000000000e+01 1.224274801540772510e-33
7.200000000000000000e+01 1.443898767208559024e-33
7.300000000000000000e+01 1.698782933263994538e-33
7.400000000000000000e+01 1.993942559878200183e-33
7.500000000000000000e+01 2.335015618162834133e-33
7.600000000000000000e+01 2.728331720402636861e-33
7.700000000000000000e+01 3.180982919283500241e-33
7.800000000000000000e+01 3.700903546752627562e-33
7.900000000000000000e+01 4.296956087039888612e-33
8.000000000000000000e+01 4.979024338600268921e-33
8.100000000000000000e+01 5.758114793756004538e-33
8.200000000000000000e+01 6.646466054910186178e-33
