# plotscale2 sqrtrR
7.071067811865475172e-02 2.906208870676710299e-01
1.000000000000000056e-01 3.361999999999999433e-01
1.224744871391588996e-01 3.322324587794917017e-01
1.414213562373095034e-01 3.040559159102154130e-01
1.732050807568877304e-01 2.162176758115148256e-01
2.000000000000000111e-01 1.176499999999999907e-01
2.236067977499789639e-01 2.575950310079757818e-02
2.449489742783178270e-01 -5.229660600842084978e-02
2.645751311064590827e-01 -1.140696779541847672e-01
2.828427124746190624e-01 -1.597000665309817324e-01
3.000000000000000444e-01 -1.903666666666666285e-01
3.162277660168379412e-01 -2.078565106028675558e-01
3.464101615137754608e-01 -2.109926558753487391e-01
3.741657386773941107e-01 -1.839291866841304968e-01
3.999999999999999667e-01 -1.391249999999999987e-01
4.242640687119284548e-01 -8.598418459228418520e-02
4.472135954999578722e-01 -3.121550896589707011e-02
4.690415759823429176e-01 2.061650927158753185e-02
4.898979485566355430e-01 6.672818307631842027e-02
5.099019513592784048e-01 1.056281503854259313e-01
5.291502622129180544e-01 1.366530552164861301e-01
5.477225575051660744e-01 1.598254422800075014e-01
5.916079783099615907e-01 1.866100594440564531e-01
6.324555320336758824e-01 1.779887981025772281e-01
6.708203932499369193e-01 1.461344958895362534e-01
7.071067811865474617e-01 1.013991124221509249e-01
7.416198487095662095e-01 5.161674147018582154e-02
7.745966692414832933e-01 2.155960729388795624e-03
8.366600265340755627e-01 -8.360624122294083027e-02
8.944271909999158554e-01 -1.438574333324489918e-01
9.486832980505137680e-01 -1.782470507781576674e-01
9.999999999999998890e-01 -1.907000000000000361e-01
1.048808848170151409e+00 -1.859252049028905229e-01
1.095445115010332149e+00 -1.686985477115911791e-01
1.183215956619923181e+00 -1.126590621553112681e-01
1.264911064067351765e+00 -4.585302607244150230e-02
1.341640786499873839e+00 1.878297101099823257e-02
1.414213562373094923e+00 7.523616151824866205e-02
1.483239697419132419e+00 1.218279151471078625e-01
1.549193338482966587e+00 1.590505160842512755e-01
1.612451549659709826e+00 1.880366576372400345e-01
1.673320053068151125e+00 2.097626209381860674e-01
1.732050807568877193e+00 2.252820750377919901e-01
1.788854381999831489e+00 2.356256631290403747e-01
1.843908891458577282e+00 2.416605300099829989e-01
1.897366596101027314e+00 2.441278353649989352e-01
1.949358868961792668e+00 2.437211575378283868e-01
1.999999999999999778e+00 2.409500000000000253e-01
2.049390153191919417e+00 2.363629976681347611e-01
2.097617696340302818e+00 2.303088884322728458e-01
2.190890230020664298e+00 2.151180344601540118e-01
2.280350850198276103e+00 1.974696130469776045e-01
2.366431913239846363e+00 1.788768980132905417e-01
2.449489742783177881e+00 1.603191036651590295e-01
2.529822128134703529e+00 1.424606085905854858e-01
2.607680962081059484e+00 1.256288651731992667e-01
2.683281572999747677e+00 1.100518122926146536e-01
2.756809750418044658e+00 9.587168645203802964e-02
2.828427124746190291e+00 8.308504678941931731e-02
2.898275349237887877e+00 7.169781161567059802e-02
3.033150177620620003e+00 5.278340689533275037e-02
3.162277660168379523e+00 3.835842801784244277e-02
3.286335345030996891e+00 2.759913109206586779e-02
3.405877273185280441e+00 1.964251634276683103e-02
3.521363372331802299e+00 1.388666684734073294e-02
3.633180424916990336e+00 9.743529321368290391e-03
3.847076812334269125e+00 4.678877204190326662e-03
4.049691346263317726e+00 2.197698352545336773e-03
4.242640687119285658e+00 1.037089945740269671e-03
4.427188724235731954e+00 4.743416490252568007e-04
4.604345773288535781e+00 2.171861213815346695e-04
4.774934554525329666e+00 1.047134770729238616e-04
4.939635614091388405e+00 4.048881650894579226e-05
